Date,Time,Hours,day of week,total,Place Eng,Day Time ,Amount of items ,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies
11/07/2019,15:35:00,15,Thur,23800,Unknown,Afternoon,6,1,,,1,,,3,,,,,,,,,,,,,1,,,
11/07/2019,16:10:00,16,Thur,15800,Unknown,Evening,3,1,,,,,,1,,,,,,,,,,,1,,,,,
12/07/2019,11:49:00,11,Fri,58000,Unknown,Morning,14,,,,,,,14,,,,,,,,,,,,,,,,
13/07/2019,13:19:00,13,Sat,14800,Unknown,Afternoon,3,1,1,,,,,,,,,,,,,,,,,,1,,,
13/07/2019,13:22:00,13,Sat,15600,Unknown,Afternoon,3,2,,,,,,1,,,,,,,,,,,,,,,,
13/07/2019,14:54:00,14,Sat,15800,Unknown,Afternoon,3,1,,,,,,,,,,,,1,,,,,,,1,,,
13/07/2019,15:08:00,15,Sat,15800,Unknown,Afternoon,3,1,,,,,,,,,,,,,,,,,1,,1,,,
13/07/2019,15:09:00,15,Sat,14000,Unknown,Afternoon,3,,,,,,,2,1,,,,,,,,,,,,,,,
13/07/2019,15:23:00,15,Sat,19100,Unknown,Afternoon,4,2,1,,,,,1,,,,,,,,,,,,,,,,
13/07/2019,16:32:00,16,Sat,22300,Unknown,Evening,4,1,1,,,,,1,1,,,,,,,,,,,,,,,
14/07/2019,11:08:00,11,Sun,15300,Unknown,Morning,3,1,,,,,,1,,,,,,,,,,,,,1,,,
14/07/2019,11:15:00,11,Sun,27600,Unknown,Morning,6,2,,,3,,,1,,,,,,,,,,,,,,,,
14/07/2019,11:44:00,11,Sun,26300,Unknown,Morning,6,1,,,,,,2,2,,,,,,,,,,,,1,,,
14/07/2019,11:59:00,11,Sun,19800,Unknown,Morning,4,1,,,,,,1,,,,,,,,,,,1,,1,,,
14/07/2019,12:59:00,12,Sun,18300,Unknown,Morning,3,1,,,,,,,1,,,,,,,,,,1,,,,,
14/07/2019,13:05:00,13,Sun,15600,Unknown,Afternoon,3,2,,,,,,1,,,,,,,,,,,,,,,,
14/07/2019,14:06:00,14,Sun,23600,Unknown,Afternoon,5,2,,,,,,1,1,,,,,,,,,,1,,,,,
14/07/2019,14:41:00,14,Sun,20100,Unknown,Afternoon,4,2,,,,,,1,,,,,,,,,,,,,1,,,
14/07/2019,14:51:00,14,Sun,25600,Unknown,Afternoon,5,2,,1,,,1,,,,,,,,,,,,1,,,,,
14/07/2019,15:02:00,15,Sun,19800,Unknown,Afternoon,4,1,,,,,,1,,,,,,,,,,,1,,1,,,
15/07/2019,11:45:00,11,Mon,15100,Unknown,Morning,3,2,,,,,,,1,,,,,,,,,,,,,,,
15/07/2019,16:21:00,16,Mon,15800,Unknown,Evening,3,1,,,,,,1,,,,,,,,,,1,,,,,,
17/07/2019,11:47:00,11,Wed,17800,Unknown,Morning,3,1,1,,,,,1,,,,,,,,,,,,,,,,
17/07/2019,13:23:00,13,Wed,14800,Unknown,Afternoon,5,3,,,,1,,,,1,,,,,,,,,,,,,,
17/07/2019,14:16:00,14,Wed,23400,Unknown,Afternoon,5,1,,2,,,,,,,,,,,1,,,,1,,,,,
17/07/2019,16:32:00,16,Wed,18100,Unknown,Evening,3,1,1,,,,,,,,,,,,,,,,,,,1,,
19/07/2019,11:43:00,11,Fri,14800,Unknown,Morning,4,1,,,,1,,1,,1,,,,,,,,,,,,,,
19/07/2019,12:11:00,12,Fri,15800,Unknown,Morning,3,1,,,,,,,,,,,,,,,,,1,,,1,,
19/07/2019,12:36:00,12,Fri,21800,Unknown,Morning,5,1,,,,1,,2,,1,,,,,,,,,,,,,,
19/07/2019,12:44:00,12,Fri,20600,Unknown,Morning,4,2,,,,,,1,,,,,,,,,,,1,,,,,
19/07/2019,13:35:00,13,Fri,14800,Unknown,Afternoon,3,1,,,,1,,1,,,,,,,,,,,,,,,,
19/07/2019,13:50:00,13,Fri,15100,Unknown,Afternoon,3,2,,,,,,,,1,,,,,,,,,,,,,,
19/07/2019,14:12:00,14,Fri,58000,Unknown,Afternoon,16,,,,,16,,,,,,,,,,,,,,,,,,
19/07/2019,15:33:00,15,Fri,35900,Unknown,Afternoon,8,3,,,,3,,2,,,,,,,,,,,,,,,,
20/07/2019,11:19:00,11,Sat,15800,Unknown,Morning,3,1,,,,,,,,,,,,1,,,,,1,,,,,
20/07/2019,11:35:00,11,Sat,18800,Unknown,Morning,4,1,,,1,1,1,,,,,,,,,,,,,,,,,
20/07/2019,11:40:00,11,Sat,22800,Unknown,Morning,6,1,,1,,,,1,,1,,,,,1,,,,,,,,1,
20/07/2019,11:44:00,11,Sat,16400,Unknown,Morning,3,3,,,,,,,,,,,,,,,,,,,,,,
20/07/2019,12:08:00,12,Sat,15800,Unknown,Morning,3,1,,,,,,,,,,,,,,1,,,,,,,1,
20/07/2019,12:13:00,12,Sat,26300,Unknown,Morning,6,1,,,,,1,,,1,,,,,,,,,1,1,,,1,
20/07/2019,12:31:00,12,Sat,14800,Unknown,Morning,3,1,,,,,1,,,1,,,,,,,,,,,,,,
20/07/2019,12:55:00,12,Sat,15800,Unknown,Morning,3,1,,,,,,1,,,,,,,,,,,1,,,,,
20/07/2019,13:19:00,13,Sat,20500,Unknown,Afternoon,5,,,,,2,,1,,2,,,,,,,,,,,,,,
20/07/2019,13:44:00,13,Sat,18600,Unknown,Afternoon,4,2,,,,1,,,,1,,,,,,,,,,,,,,
20/07/2019,13:56:00,13,Sat,17800,Unknown,Afternoon,4,1,,,1,1,,,,1,,,,,,,,,,,,,,
21/07/2019,11:07:00,11,Sun,18600,Unknown,Morning,4,1,,,,1,,,,,,,,,1,,,,,,,,1,
21/07/2019,11:42:00,11,Sun,17300,Unknown,Morning,4,1,1,,,1,,,,1,,,,,,,,,,,,,,
21/07/2019,12:12:00,12,Sun,17800,Unknown,Morning,4,1,,,1,,,,,,,,,,,,,,1,1,,,,
21/07/2019,12:25:00,12,Sun,14800,Unknown,Morning,3,1,,,,,1,,,1,,,,,,,,,,,,,,
21/07/2019,12:29:00,12,Sun,16100,Unknown,Morning,3,2,,,,,,,,,,,,,,,,,1,,,,,
21/07/2019,12:47:00,12,Sun,21000,Unknown,Morning,5,,1,,,1,,1,,1,,,,,,,,,1,,,,,
21/07/2019,13:37:00,13,Sun,19300,Unknown,Afternoon,4,1,,,,1,,,,,,,,2,,,,,,,,,,
21/07/2019,13:45:00,13,Sun,22300,Unknown,Afternoon,5,1,,,2,1,,1,,,,,,,,,,,,,,,,
21/07/2019,14:05:00,14,Sun,18300,Unknown,Afternoon,4,1,1,,,1,,,,,,,,,,,,,,,1,,,
21/07/2019,14:53:00,14,Sun,15300,Unknown,Afternoon,4,1,1,1,,1,,,,,,,,,,,,,,,,,,
21/07/2019,15:21:00,15,Sun,15100,Unknown,Afternoon,3,1,,,,,,,,,1,,,,1,,,,,,,,,
22/07/2019,11:38:00,11,Mon,15600,Unknown,Morning,3,2,,,1,,,,,,,,,,,,,,,,,,,
22/07/2019,12:16:00,12,Mon,19300,Unknown,Morning,4,1,,,,1,,,,,,,,1,,,,,1,,,,,
22/07/2019,12:24:00,12,Mon,18300,Unknown,Morning,4,1,,,,1,,,,1,,,,,,,,,1,,,,,
22/07/2019,12:41:00,12,Mon,18300,Unknown,Morning,4,1,,,,2,,1,,,,,,,,,,,,,,,,
22/07/2019,13:28:00,13,Mon,16600,Unknown,Afternoon,4,2,,,,,,,,2,,,,,,,,,,,,,,
22/07/2019,13:44:00,13,Mon,14800,Unknown,Afternoon,3,1,,,,,,,,1,,,,,,1,,,,,,,,
22/07/2019,14:47:00,14,Mon,26000,Unknown,Afternoon,5,5,,,,,,,,,,,,,,,,,,,,,,
22/07/2019,15:37:00,15,Mon,19600,Unknown,Afternoon,4,1,,,,,1,1,,,,,,,1,,,,,,,,,
22/07/2019,16:54:00,16,Mon,18600,Unknown,Evening,4,1,,,,1,,,,,,,,,1,,,,,,,1,,
24/07/2019,11:29:00,11,Wed,16400,Unknown,Morning,3,3,,,,,,,,,,,,,,,,,,,,,,
24/07/2019,11:56:00,11,Wed,27100,Unknown,Morning,6,2,2,,,,,1,,,,,,,,,,,1,,,,,
24/07/2019,13:24:00,13,Wed,18800,Unknown,Afternoon,4,1,1,,1,1,,,,,,,,,,,,,,,,,,
24/07/2019,14:25:00,14,Wed,25400,Unknown,Afternoon,5,3,,,,,,,,,,,,2,,,,,,,,,,
24/07/2019,14:28:00,14,Wed,26300,Unknown,Afternoon,6,1,2,,1,,,1,,,,,,,,,,,,,1,,,
24/07/2019,15:36:00,15,Wed,16100,Unknown,Afternoon,3,2,,,,,,,,,1,,,,,,,,,,,,,
24/07/2019,15:40:00,15,Wed,16100,Unknown,Afternoon,3,2,,,,,,1,,,,,,,,,,,,,,,,
24/07/2019,16:02:00,16,Wed,16400,Unknown,Evening,3,3,,,,,,,,,,,,,,,,,,,,,,
24/07/2019,17:20:00,17,Wed,15000,Unknown,Evening,4,,,,,,,,,1,1,,,,,,,,,2,,,,
25/07/2019,11:49:00,11,Thur,18600,Unknown,Morning,4,1,,,,,,1,,1,,,,,1,,,,,,,,,
25/07/2019,11:57:00,11,Thur,26800,Unknown,Morning,6,1,1,,1,1,1,,,,,,,,,,,,,,1,,,
25/07/2019,12:01:00,12,Thur,35000,Unknown,Morning,10,,,,,,,,,,4,,,,,,,,,6,,,,
25/07/2019,12:35:00,12,Thur,38000,Unknown,Morning,9,5,,,,1,,,,1,,,,,,,,,,2,,,,
25/07/2019,13:01:00,13,Thur,23100,Unknown,Afternoon,4,2,,,,,,1,,1,,,,,,,,,,,,,,
25/07/2019,13:05:00,13,Thur,17300,Unknown,Afternoon,4,,,,,,,,,2,,,,,1,,,,,,,1,,
25/07/2019,13:40:00,13,Thur,19600,Unknown,Afternoon,4,2,,,,1,,,,,,,,,,1,,,,,,,,
25/07/2019,13:42:00,13,Thur,15300,Unknown,Afternoon,3,1,,,1,,,,,,,,,,,1,,,,,,,,
25/07/2019,14:12:00,14,Thur,16100,Unknown,Afternoon,3,2,,,,,,,,,,,,,,1,,,,,,,,
25/07/2019,15:09:00,15,Thur,14300,Unknown,Afternoon,3,1,,,1,1,,,,,,,,,,,,,,,,,,
25/07/2019,15:57:00,15,Thur,15100,Unknown,Afternoon,3,1,,,,,,,,,1,,,,1,,,,,,,,,
25/07/2019,16:03:00,16,Thur,20000,Unknown,Evening,4,,,,,,,,,,1,,,,,1,,,1,,1,,,
26/07/2019,11:23:00,11,Fri,73200,Unknown,Morning,18,4,3,,,6,,1,,2,,,,,,1,,,1,,,,,
26/07/2019,11:26:00,11,Fri,25300,Unknown,Morning,6,1,1,,,3,,,,,,,,,,,,,1,,,,,
26/07/2019,11:31:00,11,Fri,22800,Unknown,Morning,5,1,,,,,,1,,,,,,,,1,,,1,1,,,,
26/07/2019,11:36:00,11,Fri,129300,Unknown,Morning,31,6,5,,,5,,,,5,5,,,,,5,,,,,,,,
26/07/2019,11:37:00,11,Fri,15000,Unknown,Morning,4,,1,1,,1,,,,,,,,,,,,,1,,,,,
26/07/2019,11:55:00,11,Fri,20800,Unknown,Morning,5,1,,,,,,1,,,1,,,,,,,,,2,,,,
26/07/2019,13:19:00,13,Fri,25900,Unknown,Afternoon,6,3,,,,,,1,,,,,,,,,,,,2,,,,
26/07/2019,13:24:00,13,Fri,28100,Unknown,Afternoon,6,2,,,1,,,,,1,,,,,,,,1,1,,,,,
26/07/2019,14:05:00,14,Fri,15800,Unknown,Afternoon,3,1,,,,,,,,,,,,1,,,,,,,,1,,
26/07/2019,14:24:00,14,Fri,35000,Unknown,Afternoon,7,5,,,,,,,,,,,,,,,,,2,,,,,
26/07/2019,14:52:00,14,Fri,22100,Unknown,Afternoon,5,1,,,,,,,,,1,,,,1,,,1,,1,,,,
26/07/2019,14:56:00,14,Fri,16100,Unknown,Afternoon,3,2,,,,,,,,,,,,,,1,,,,,,,,
27/07/2019,11:29:00,11,Sat,18800,Unknown,Morning,4,1,1,,1,,,1,,,,,,,,,,,,,,,,
27/07/2019,11:57:00,11,Sat,21800,Unknown,Morning,5,1,1,,,1,,,,1,,,,,,1,,,,,,,,
27/07/2019,12:00:00,12,Sat,18600,Unknown,Morning,4,1,,,,1,,,,,,,,,1,,,,,,1,,,
27/07/2019,12:07:00,12,Sat,33200,Unknown,Morning,8,2,2,,,,,,,2,,,,,2,,,,,,,,,
27/07/2019,12:20:00,12,Sat,22800,Unknown,Morning,5,1,,,,1,,,,1,,,,,,,,1,,,,,1,
27/07/2019,12:26:00,12,Sat,17000,Unknown,Morning,4,1,,,,3,,,,,,,,,,,,,,,,,,
27/07/2019,12:43:00,12,Sat,16400,Unknown,Morning,3,1,1,,,,,,,,,,,,,1,,,,,,,,
27/07/2019,13:50:00,13,Sat,14800,Unknown,Afternoon,3,1,1,,,,,,,,,,,,,1,,,,,,,,
27/07/2019,14:05:00,14,Sat,32600,Unknown,Afternoon,8,1,1,1,,,,,,,,,,,1,,,1,1,1,1,,,
28/07/2019,11:14:00,11,Mon,15800,Unknown,Morning,3,1,,,,,,1,,,,,,,,1,,,,,,,,
28/07/2019,11:17:00,11,Sun,17300,Unknown,Morning,4,1,,,,1,,,,,,,,,,,,,1,1,,,,
28/07/2019,12:10:00,12,Sun,14800,Unknown,Morning,3,1,1,,,,,,,,,,,,,1,,,,,,,,
28/07/2019,12:21:00,12,Sun,14800,Unknown,Morning,3,1,,,,,,1,,1,,,,,,,,,,,,,,
28/07/2019,12:47:00,12,Sun,14300,Unknown,Morning,3,1,,,1,,,,,1,,,,,,,,,,,,,,
28/07/2019,12:48:00,12,Sun,14800,Unknown,Morning,3,1,,,,1,,1,,,,,,,,,,,,,,,,
28/07/2019,13:13:00,13,Sun,25600,Unknown,Afternoon,6,2,1,,,2,,,,,,,,,,,,,,1,,,,
28/07/2019,13:14:00,13,Sun,19500,Unknown,Afternoon,5,,1,1,,,,,,1,,,,,,1,,,,,,1,,
29/07/2019,11:08:00,11,Mon,24800,Unknown,Morning,7,1,,,,3,,,,,,,,,,,,,,3,,,,
29/07/2019,11:12:00,11,Mon,24100,Unknown,Morning,5,2,,,,1,,1,,,,,,,,,,,1,,,,,
29/07/2019,11:39:00,11,Mon,14800,Unknown,Morning,3,1,,,,,,,,1,,,,,,1,,,,,,,,
29/07/2019,12:02:00,12,Mon,14800,Unknown,Morning,3,1,,,,,,,,1,,,,,,,,,1,,,,,
29/07/2019,12:15:00,12,Mon,18300,Unknown,Morning,4,1,,,,1,,,,1,,,,,,,,,1,,,,,
29/07/2019,12:22:00,12,Mon,27900,Unknown,Morning,6,3,1,,,,,,,1,,,,,,,,,1,,,,,
29/07/2019,12:54:00,12,Mon,15800,Unknown,Morning,3,1,,,,,,,,,1,,,,,,,,1,,,,,
29/07/2019,13:25:00,13,Mon,18100,Unknown,Afternoon,4,1,,,1,1,,,,,,,,,1,,,,,,,,,
29/07/2019,13:36:00,13,Mon,28000,Unknown,Afternoon,5,,,,,1,,,,,1,,,1,,1,,,,,1,,,
29/07/2019,13:53:00,13,Mon,28000,Unknown,Afternoon,6,,,,2,,,1,,,1,,,,,1,,,,,1,,,
31/07/2019,11:09:00,11,Wed,15600,Unknown,Morning,3,2,,,1,,,,,,,,,,,,,,,,,,,
31/07/2019,11:25:00,11,Wed,30100,Unknown,Morning,7,2,1,,,2,,,,1,,,,,,1,,,,,,,,
31/07/2019,11:38:00,11,Wed,23300,Unknown,Morning,6,1,1,1,,1,,,,1,1,,,,,,,,,,,,,
31/07/2019,11:44:00,11,Wed,30200,Unknown,Morning,7,2,,,1,,,,,2,,,,,2,,,,,,,,,
31/07/2019,12:48:00,12,Wed,15100,Unknown,Morning,3,2,1,,,,,,,,,,,,,,,,,,,,,
31/07/2019,13:18:00,13,Wed,27300,Unknown,Afternoon,6,1,1,,2,,,,,,,,,,,1,,,,,1,,,
31/07/2019,13:19:00,13,Wed,15300,Unknown,Afternoon,3,1,,,1,,,1,,,,,,,,,,,,,,,,
31/07/2019,13:29:00,13,Wed,16100,Unknown,Afternoon,3,1,,,,,,,,,,,,,1,1,,,,,,,,
31/07/2019,13:54:00,13,Wed,15100,Unknown,Afternoon,3,1,,,,,,,,,,,,1,1,,,,,,,,,
31/07/2019,13:58:00,13,Wed,15800,Unknown,Afternoon,3,1,,,,,,1,,,,,,,,1,,,,,,,,
01/08/2019,11:03:00,11,Thur,14500,Unknown,Morning,3,,,,,,,1,,1,,,,,,1,,,,,,,,
01/08/2019,11:17:00,11,Thur,13100,Unknown,Morning,3,2,,,,,,,,1,,,,,,,,,,,,,,
01/08/2019,11:25:00,11,Thur,16100,Unknown,Morning,3,2,,,,,,,,,,,,,,1,,,,,,,,
01/08/2019,11:50:00,11,Thur,14800,Unknown,Morning,3,1,,,,1,,,,,,,,,,,,,1,,,,,
01/08/2019,12:02:00,12,Thur,21100,Unknown,Morning,5,2,1,,,1,,,,,,,,,,1,,,,,,,,
01/08/2019,12:15:00,12,Thur,20600,Unknown,Morning,4,2,,,,,,1,,,,,,,,,,,1,,,,,
01/08/2019,12:24:00,12,Thur,32600,Unknown,Morning,8,1,2,,,2,,1,,1,,,,,1,,,,,,,,,
01/08/2019,12:38:00,12,Thur,14500,Unknown,Morning,3,,1,,,,,,,,,,,1,,1,,,,,,,,
01/08/2019,13:37:00,13,Thur,15100,Unknown,Afternoon,3,2,,,,1,,,,,,,,,,,,,,,,,,
01/08/2019,13:39:00,13,Thur,15000,Unknown,Afternoon,4,,1,1,,,,,,1,,,,1,,,,,,,,,,
01/08/2019,14:17:00,14,Thur,14800,Unknown,Afternoon,3,1,,,,,,1,,1,,,,,,,,,,,,,,
01/08/2019,14:56:00,14,Thur,23000,Unknown,Afternoon,6,,,,,4,,,,2,,,,,,,,,,,,,,
02/08/2019,11:03:00,11,Fri,19900,Unknown,Morning,4,3,,,,,,,,1,,,,,,,,,,,,,,
02/08/2019,11:04:00,11,Fri,14100,Unknown,Morning,3,1,1,,,,,,,,,,,,1,,,,,,,,,
02/08/2019,11:06:00,11,Fri,18000,Unknown,Morning,7,3,,,,,,1,,,,,,,,1,,,1,1,,,,
02/08/2019,11:19:00,11,Fri,16400,Unknown,Morning,3,3,,,,,,,,,,,,,,,,,,,,,,
02/08/2019,11:31:00,11,Fri,17300,Unknown,Morning,4,1,1,,,,,,,,,,,,,,,,,1,,1,,
02/08/2019,11:57:00,11,Fri,30800,Unknown,Morning,6,6,,,,,,,,,,,,,,,,,,,,,,
02/08/2019,12:21:00,12,Fri,15800,Unknown,Morning,3,1,,,,,1,1,,,,,,,,,,,,,,,,
02/08/2019,12:31:00,12,Fri,19900,Unknown,Morning,4,2,,,,,,,,,,,,,1,,,,1,,,,,
02/08/2019,12:51:00,12,Fri,15800,Unknown,Morning,3,1,1,,,,,1,,,,,,,,,,,,,,,,
03/08/2019,11:02:00,11,Sat,26000,Unknown,Morning,5,5,,,,,,,,,,,,,,,,,,,,,,
03/08/2019,11:03:00,11,Sat,26100,Unknown,Morning,7,2,1,,,,,,,1,,,,,,,,,,3,,,,
03/08/2019,11:03:00,11,Sat,16000,Unknown,Morning,4,,,,,2,,,,2,,,,,,,,,,,,,,
03/08/2019,11:05:00,11,Sat,29100,Unknown,Morning,7,1,,,,1,,,,1,1,,,,1,,,,1,1,,,,
03/08/2019,11:06:00,11,Sat,16800,Unknown,Morning,5,1,1,1,,,,,,,,,,,,,,,,2,,,,
03/08/2019,11:08:00,11,Sat,22800,Unknown,Morning,7,,1,,,1,,,,,,,,,1,,,,,4,,,,
03/08/2019,11:20:00,11,Sat,16600,Unknown,Morning,4,1,,,,1,,,,,,,,,1,,,,,1,,,,
03/08/2019,11:53:00,11,Sat,18800,Unknown,Morning,5,1,1,,,1,,,,,,,,,,,,,,2,,,,
03/08/2019,12:06:00,12,Sat,16400,Unknown,Morning,3,3,,,,,,,,,,,,,,,,,,,,,,
03/08/2019,12:44:00,12,Sat,19300,Unknown,Morning,4,1,1,,,,,,,,,,,1,,,,,1,,,,,
03/08/2019,13:06:00,13,Sat,16400,Unknown,Afternoon,3,3,,,,,,,,,,,,,,,,,,,,,,
03/08/2019,13:18:00,13,Sat,18300,Unknown,Afternoon,4,1,,,2,1,,,,,,,,,,,,,,,,,,
03/08/2019,13:20:00,13,Sat,16300,Unknown,Afternoon,4,1,,1,,1,,,,,,,,,,,,,1,,,,,
03/08/2019,13:42:00,13,Sat,15800,Unknown,Afternoon,3,1,,,,,,,,,2,,,,,,,,,,,,,
03/08/2019,15:07:00,15,Sat,17900,Unknown,Afternoon,4,3,,1,,,,,,,,,,,,,,,,,,,,
03/08/2019,15:53:00,15,Sat,16400,Unknown,Afternoon,3,3,,,,,,,,,,,,,,,,,,,,,,
04/08/2019,11:02:00,11,Sun,34800,Unknown,Morning,9,1,1,,2,2,,,,2,,,,,,,,,,1,,,,
04/08/2019,11:04:00,11,Sun,31600,Unknown,Morning,8,2,1,,,1,,,,1,,,,,,,,,1,2,,,,
04/08/2019,11:07:00,11,Sun,19300,Unknown,Morning,4,1,1,,,,,1,,,,,,1,,,,,,,,,,
04/08/2019,11:07:00,11,Sun,16400,Unknown,Morning,3,3,,,,,,,,,,,,,,,,,,,,,,
04/08/2019,11:41:00,11,Sun,24300,Unknown,Morning,6,1,1,1,,,,1,,1,,,,,,,,,,1,,,,
04/08/2019,11:52:00,11,Sun,22100,Unknown,Morning,5,2,,,,1,,,,,,,,,,,,,1,1,,,,
04/08/2019,12:27:00,12,Sun,14800,Unknown,Morning,3,1,1,,,,,,,,,,,,,,,,1,,,,,
04/08/2019,12:30:00,12,Sun,19500,Unknown,Morning,4,,1,,,2,,,,1,,,,,,,,,,,,,,
04/08/2019,12:35:00,12,Sun,20600,Unknown,Morning,4,2,,,,,,,,,,,,,,1,,,1,,,,,
04/08/2019,12:39:00,12,Sun,17800,Unknown,Morning,5,,1,1,,,,,,,1,,,,1,,,,,1,,,,
05/08/2019,11:11:00,11,Mon,16300,Unknown,Morning,4,1,,,,,,1,,,,,,,,,,,,2,,,,
05/08/2019,11:16:00,11,Mon,23100,Unknown,Morning,5,2,,,,,,,,,,,,1,,,,,1,1,,,,
05/08/2019,11:18:00,11,Mon,31400,Unknown,Morning,7,2,,,,,,1,,1,,,,,1,1,,,,1,,,,
05/08/2019,11:32:00,11,Mon,17000,Unknown,Morning,4,,,,,,,,,1,2,,,,,,,,,1,,,,
05/08/2019,11:59:00,11,Mon,22300,Unknown,Morning,6,1,1,1,,,,,,1,,,,,,1,,,,1,,,,
05/08/2019,12:14:00,12,Mon,26600,Unknown,Morning,6,2,1,,,1,,1,,1,,,,,,,,,,,,,,
05/08/2019,12:14:00,12,Mon,14800,Unknown,Morning,3,1,1,,,,,,,,,,,,,1,,,,,,,,
05/08/2019,12:42:00,12,Mon,19600,Unknown,Morning,4,2,,,,,,1,,1,,,,,,,,,,,,,,
05/08/2019,12:49:00,12,Mon,49300,Unknown,Morning,11,1,1,1,,1,1,,,1,,,,,,,,1,,,3,1,,
05/08/2019,13:54:00,13,Mon,19800,Unknown,Afternoon,5,1,1,1,,1,1,,,,,,,,,,,,,,,,,
05/08/2019,14:25:00,14,Mon,20800,Unknown,Afternoon,4,1,1,,,,1,,,,,,,,,,,,,1,,,,
05/08/2019,14:53:00,14,Mon,16300,Unknown,Afternoon,4,1,,,,2,,,,,,,,,,,,,,1,,,,
07/08/2019,11:03:00,11,Wed,16300,Unknown,Morning,4,1,,,,2,,,,,,,,,,,,,,1,,,,
07/08/2019,11:10:00,11,Wed,21200,Unknown,Morning,4,4,,,,,,,,,,,,,,,,,,,,,,
07/08/2019,12:17:00,12,Wed,15300,Unknown,Morning,4,,,,,1,,,,1,,,,,1,,,,,1,,,,
07/08/2019,12:20:00,12,Wed,27300,Unknown,Morning,6,1,,,,1,1,1,,1,,,,,,,,,,,1,,,
07/08/2019,12:28:00,12,Wed,16100,Unknown,Morning,3,2,,,,,,,,,,,,,,,,,1,,,,,
07/08/2019,13:28:00,13,Wed,17600,Unknown,Afternoon,4,1,,,,2,,,,,,,,,1,,,,,,,,,
07/08/2019,13:33:00,13,Wed,19500,Unknown,Afternoon,5,,3,,,,,,,2,,,,,,,,,,,,,,
07/08/2019,13:59:00,13,Wed,14800,Unknown,Afternoon,3,1,,,2,,,,,,,,,,,,,,,,,,,
07/08/2019,14:05:00,14,Wed,15000,Unknown,Afternoon,4,,1,1,,1,,,,,,,,,,,,,1,,,,,
07/08/2019,14:06:00,14,Wed,14100,Unknown,Afternoon,3,2,,,,,,,,,,,,,,,,,,1,,,,
07/08/2019,14:50:00,14,Wed,23800,Unknown,Afternoon,5,1,1,,,,1,1,,,,,,1,,,,,,,,,,
08/08/2019,11:07:00,11,Thur,16100,Unknown,Morning,3,2,1,,,,,,,,,,,,,,,,,,,,,
08/08/2019,11:09:00,11,Thur,16400,Unknown,Morning,3,3,,,,,,,,,,,,,,,,,,,,,,
08/08/2019,11:22:00,11,Thur,20300,Unknown,Morning,4,1,,,,,,,,,,,,,,1,,,2,,,,,
08/08/2019,12:03:00,12,Thur,16500,Unknown,Morning,4,,1,1,,,,1,,,,,,,,,,,,1,,,,
08/08/2019,12:13:00,12,Thur,15100,Unknown,Morning,3,2,,,,,,,,1,,,,,,,,,,,,,,
08/08/2019,12:39:00,12,Thur,15300,Unknown,Morning,4,1,1,,,,,,,,,,,,,,,,,2,,,,
08/08/2019,12:56:00,12,Thur,16000,Unknown,Morning,4,,1,,,1,,,,,,,,,,1,,,,1,,,,
08/08/2019,13:22:00,13,Thur,15800,Unknown,Afternoon,3,1,,,,,,1,,,,,,,,,,,,,1,,,
08/08/2019,13:26:00,13,Thur,17300,Unknown,Afternoon,4,1,,,,1,,,,2,,,,,,,,,,,,,,
08/08/2019,13:36:00,13,Thur,33200,Unknown,Afternoon,8,2,,,,,,2,,,,,,,2,,,,,2,,,,
08/08/2019,13:55:00,13,Thur,22300,Unknown,Afternoon,5,,,,1,1,1,,,,,,,,1,1,,,,,,,,
08/08/2019,13:57:00,13,Thur,32400,Unknown,Afternoon,7,3,,,,2,,,,,,,,,,,,,2,,,,,
08/08/2019,14:11:00,14,Thur,16100,Unknown,Afternoon,3,2,,,,,,,,,,,,,,1,,,,,,,,
08/08/2019,14:52:00,14,Thur,17000,Unknown,Afternoon,5,,1,2,1,,,,,,,,,,,,,,1,,,,,
08/08/2019,14:58:00,14,Thur,20500,Unknown,Afternoon,7,,1,2,,,,,,,,,,,,,,,,3,1,,,
09/08/2019,11:34:00,11,Fri,17000,Unknown,Morning,4,,,,,2,,,,1,,,,,,,,,1,,,,,
09/08/2019,12:31:00,12,Fri,18600,Unknown,Morning,4,1,,,,1,,,,,,,,1,1,,,,,,,,,
09/08/2019,15:22:00,15,Fri,35800,Unknown,Afternoon,8,6,,,,2,,,,,,,,,,,,,,,,,,
09/08/2019,15:22:00,15,Fri,26000,Unknown,Afternoon,5,5,,,,,,,,,,,,,,,,,,,,,,
09/08/2019,15:30:00,15,Fri,15100,Unknown,Afternoon,3,1,,,,,,,,,,,,,1,,,,,,1,,,
10/08/2019,11:01:00,11,Sat,19600,Unknown,Morning,4,2,,,,,,1,,1,,,,,,,,,,,,,,
10/08/2019,11:02:00,11,Sat,15300,Unknown,Morning,3,1,,,1,,,,,,,,,,,1,,,,,,,,
10/08/2019,11:03:00,11,Sat,19100,Unknown,Morning,5,1,,,,,,,,1,,,,,1,1,,,,1,,,,
10/08/2019,11:05:00,11,Sat,28600,Unknown,Morning,6,2,1,,,,,1,,,,,,,,1,,,1,,,,,
